 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,8,Arrived 2014 to 2016,56265
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,9,Arrived 2017 to 2019,63060
K04000001,England and Wales,1,Aged 15 years and under,17,White: Other White,10,Arrived 2020 to 2021,22496
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,1,Born in the UK,58739
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,6,Arrived 2001 to 2010,2141
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,7,Arrived 2011 to 2013,3293
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,8,Arrived 2014 to 2016,8863
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,9,Arrived 2017 to 2019,15415
K04000001,England and Wales,1,Aged 15 years and under,18,Other ethnic group: Arab,10,Arrived 2020 to 2021,6065
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,1,Born in the UK,145413
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,6,Arrived 2001 to 2010,4450
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,7,Arrived 2011 to 2013,5701
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,8,Arrived 2014 to 2016,11346
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,9,Arrived 2017 to 2019,17323
K04000001,England and Wales,1,Aged 15 years and under,19,Other ethnic group: Any other ethnic group,10,Arrived 2020 to 2021,6747
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,1,Born in the UK,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,2,Arrived before 1971,0
K04000001,England and Wales,2,Aged 16 to 24 years,-8,Does not apply,3,Arrived 1971 to 1980,0
